id;name;description;code;display_name;is_active;sort_order;domain;resource;action
'01932f00-0090-7000-8000-000000000037';'Access point: read';'View access to access point.';'component.access-point:read';'Access point: read';true;37;'component';'component.access-point';'read'
'01932f00-0090-7000-8000-000000000038';'Access point: create';'Create access to access point.';'component.access-point:create';'Access point: create';true;38;'component';'component.access-point';'create'
'01932f00-0090-7000-8000-000000000039';'Access point: update';'Update access to access point.';'component.access-point:update';'Access point: update';true;39;'component';'component.access-point';'update'
'01932f00-0090-7000-8000-000000000040';'Access point: delete';'Delete access to access point.';'component.access-point:delete';'Access point: delete';true;40;'component';'component.access-point';'delete'
'01932f00-0090-7000-8000-000000000041';'Cable run: read';'View access to cable run.';'component.cable-run:read';'Cable run: read';true;41;'component';'component.cable-run';'read'
'01932f00-0090-7000-8000-000000000042';'Cable run: create';'Create access to cable run.';'component.cable-run:create';'Cable run: create';true;42;'component';'component.cable-run';'create'
'01932f00-0090-7000-8000-000000000043';'Cable run: update';'Update access to cable run.';'component.cable-run:update';'Cable run: update';true;43;'component';'component.cable-run';'update'
'01932f00-0090-7000-8000-000000000044';'Cable run: delete';'Delete access to cable run.';'component.cable-run:delete';'Cable run: delete';true;44;'component';'component.cable-run';'delete'
'01932f00-0090-7000-8000-000000000045';'Connector: read';'View access to connector.';'component.connector:read';'Connector: read';true;45;'component';'component.connector';'read'
'01932f00-0090-7000-8000-000000000046';'Connector: create';'Create access to connector.';'component.connector:create';'Connector: create';true;46;'component';'component.connector';'create'
'01932f00-0090-7000-8000-000000000047';'Connector: update';'Update access to connector.';'component.connector:update';'Connector: update';true;47;'component';'component.connector';'update'
'01932f00-0090-7000-8000-000000000048';'Connector: delete';'Delete access to connector.';'component.connector:delete';'Connector: delete';true;48;'component';'component.connector';'delete'
'01932f00-0090-7000-8000-000000000049';'Device: read';'View access to device.';'component.device:read';'Device: read';true;49;'component';'component.device';'read'
'01932f00-0090-7000-8000-000000000050';'Device: create';'Create access to device.';'component.device:create';'Device: create';true;50;'component';'component.device';'create'
'01932f00-0090-7000-8000-000000000051';'Device: update';'Update access to device.';'component.device:update';'Device: update';true;51;'component';'component.device';'update'
'01932f00-0090-7000-8000-000000000052';'Device: delete';'Delete access to device.';'component.device:delete';'Device: delete';true;52;'component';'component.device';'delete'
'01932f00-0090-7000-8000-000000000053';'Network switch: read';'View access to network switch.';'component.network-switch:read';'Network switch: read';true;53;'component';'component.network-switch';'read'
'01932f00-0090-7000-8000-000000000054';'Network switch: create';'Create access to network switch.';'component.network-switch:create';'Network switch: create';true;54;'component';'component.network-switch';'create'
'01932f00-0090-7000-8000-000000000055';'Network switch: update';'Update access to network switch.';'component.network-switch:update';'Network switch: update';true;55;'component';'component.network-switch';'update'
'01932f00-0090-7000-8000-000000000056';'Network switch: delete';'Delete access to network switch.';'component.network-switch:delete';'Network switch: delete';true;56;'component';'component.network-switch';'delete'
'01932f00-0090-7000-8000-000000000057';'Patch panel: read';'View access to patch panel.';'component.patch-panel:read';'Patch panel: read';true;57;'component';'component.patch-panel';'read'
'01932f00-0090-7000-8000-000000000058';'Patch panel: create';'Create access to patch panel.';'component.patch-panel:create';'Patch panel: create';true;58;'component';'component.patch-panel';'create'
'01932f00-0090-7000-8000-000000000059';'Patch panel: update';'Update access to patch panel.';'component.patch-panel:update';'Patch panel: update';true;59;'component';'component.patch-panel';'update'
'01932f00-0090-7000-8000-000000000060';'Patch panel: delete';'Delete access to patch panel.';'component.patch-panel:delete';'Patch panel: delete';true;60;'component';'component.patch-panel';'delete'
'01932f00-0090-7000-8000-000000000061';'Rack: read';'View access to rack.';'component.rack:read';'Rack: read';true;61;'component';'component.rack';'read'
'01932f00-0090-7000-8000-000000000062';'Rack: create';'Create access to rack.';'component.rack:create';'Rack: create';true;62;'component';'component.rack';'create'
'01932f00-0090-7000-8000-000000000063';'Rack: update';'Update access to rack.';'component.rack:update';'Rack: update';true;63;'component';'component.rack';'update'
'01932f00-0090-7000-8000-000000000064';'Rack: delete';'Delete access to rack.';'component.rack:delete';'Rack: delete';true;64;'component';'component.rack';'delete'
'01932f00-0090-7000-8000-000000000065';'Router: read';'View access to router.';'component.router:read';'Router: read';true;65;'component';'component.router';'read'
'01932f00-0090-7000-8000-000000000066';'Router: create';'Create access to router.';'component.router:create';'Router: create';true;66;'component';'component.router';'create'
'01932f00-0090-7000-8000-000000000067';'Router: update';'Update access to router.';'component.router:update';'Router: update';true;67;'component';'component.router';'update'
'01932f00-0090-7000-8000-000000000068';'Router: delete';'Delete access to router.';'component.router:delete';'Router: delete';true;68;'component';'component.router';'delete'
'01932f00-0090-7000-8000-000000000069';'Installation: read';'View access to installation.';'installation:read';'Installation: read';true;69;'installation';'installation';'read'
'01932f00-0090-7000-8000-000000000070';'Installation: create';'Create access to installation.';'installation:create';'Installation: create';true;70;'installation';'installation';'create'
'01932f00-0090-7000-8000-000000000071';'Installation: update';'Update access to installation.';'installation:update';'Installation: update';true;71;'installation';'installation';'update'
'01932f00-0090-7000-8000-000000000072';'Installation: delete';'Delete access to installation.';'installation:delete';'Installation: delete';true;72;'installation';'installation';'delete'
'01932f00-0090-7000-8000-000000000073';'Location: read';'View access to location.';'location:read';'Location: read';true;73;'location';'location';'read'
'01932f00-0090-7000-8000-000000000074';'Location: create';'Create access to location.';'location:create';'Location: create';true;74;'location';'location';'create'
'01932f00-0090-7000-8000-000000000075';'Location: update';'Update access to location.';'location:update';'Location: update';true;75;'location';'location';'update'
'01932f00-0090-7000-8000-000000000076';'Location: delete';'Delete access to location.';'location:delete';'Location: delete';true;76;'location';'location';'delete'
'01932f00-0090-7000-8000-000000000077';'Port: read';'View access to port.';'port:read';'Port: read';true;77;'port';'port';'read'
'01932f00-0090-7000-8000-000000000078';'Port: create';'Create access to port.';'port:create';'Port: create';true;78;'port';'port';'create'
'01932f00-0090-7000-8000-000000000079';'Port: update';'Update access to port.';'port:update';'Port: update';true;79;'port';'port';'update'
'01932f00-0090-7000-8000-000000000080';'Port: delete';'Delete access to port.';'port:delete';'Port: delete';true;80;'port';'port';'delete'
'01932f00-0090-7000-8000-000000000081';'Permission: read';'View access to permission.';'system.permission:read';'Permission: read';true;81;'system';'system.permission';'read'
